name,objective,objective2,Phase,Phase2
Adapt New Strategies,"Own 2 faction technologies. ""Valefar Assimilator"" technologies do not count toward this objective.",Own 5 technologies owned by no other player.,Status,Status
Allow Others A Voice,"After the second agenda of the agenda phase is resolved, have more influence on readied planets than any other player.","After the second agenda of the agenda phase is resolved, have more influence on readied planets than all other players combined.",Agenda,Agenda
Amass Forces,Have at least 10 units in each of 4 systems.,Have at least 10 units in each of 7 systems.,Status,Status
Ambush Exhausted Fleet,"As the active player, win a space combat in a system that contains 1 of your opponents command tokens.",Have ships in each of 6 systems that contain another player's command token.,Action,Status
Assemble a Swarm,Have 20 fighters on the game board.,Have 45 fighters on the game board.,Status,Status
Balance Imperial Interests,Control planets that have a combined value of at least 8 resources and at least 8 influence.,Control planets that have a combined value of at least 20 resources and at least 20 influence.,Status,Status
Battle Before the Unknown,Win a combat in a system that contains a wormhole.,Have a ship in each of 6 systems that contain a wormhole.,Action,Status
Become a Martyr,Lose control of a planet in a home system.,Control no planets in your home system.,Action,Status
Become the Gatekeeper,Have 1 or more ships in a system that contains an alpha wormhole and 1 or more ships in a system that contains a beta wormhole.,Have 3 or more ships in each of 2 different systems that contain an alpha wormhole and 3 or more ships in each of 2 different systems that contain a beta wormhole.,Status,Status
Betray a Friend,Win a combat against a player whose promissory note you had in your play area at the start of your tactical action.,Control a planet in the home system of another player whose promissory note your have in your play area.,Action,Status
Brave Hazards,Control a hazardous planet adjacent to another player's home system.,Control a hazardous planet in each of 2 systems adjacent to other players' home systems.,Status,Status
Brave the Void,Win a combat in an anomaly.,Have a ship in each of 6 systems with an anomaly.,Action,Status
Broaden Strategies,Have at least 15 units with at least 1 unit ability on the game board.,Have 25 units on the game board with at least 1 unit ability.,Status,Status
Build Transport Network,Have 1 carrier in each of 4 systems.,Have a unit with capacity in each of 11 systems.,Status,Status
Centralize Forces,Have at least 30 units in a system.,Have at least 60 units in a system.,Status,Status
Colonize Distant Stars,Control a planet in each of 3 systems that are not in or adjacent to your home system.,Control a planet in each of 6 systems that are not in or adjacent to your home system.,Status,Status
Come. See. Conquer.,Win more than 1 ground combat in a system during the same tactical action.,Control 5 planets adjacent to other players' home systems.,Action,Status
Control the Region,Have 1 or more ships in 6 systems.,Have 1 or more ships in 12 systems.,Status,Status
Create Legendary Infrastructure,"Have at least 2 structures on legendary planets, Mecatol Rex, or other player's home system planets.","Have at least 4 structures on legendary planets, Mecatol Rex, or other player's home system planets.",Status,Status
Cripple Industry,Destroy another player's space dock.,Destroy another player's last space dock.,Action,Action
Cut Supply Lines,Have 1 or more ships in the same system as another player's space dock.,Have 1 or more ships in each of 2 different systems that both contain another different player's space dock.,Status,Status
Darken the Skies,Win a combat in another player's home system.,Have ships in 2 different player's home systems.,Action,Status
Decimation,Win a space combat in the first round of combat where your opponent did not successfully execute a retreat.,Have more units of each of 7 types on the game board than 1 player that is your neighbor.,Action,Status
Decisive Legislation,Vote for an outcome that receives at least 10 more votes than any other outcome.,Vote for an outcome that receives at least 20 more votes than any other outcome.,Agenda,Agenda
Defend Infrastructure,Have 9 infantry on each of 2 planets that contain a structure.,Have 9 infantry on each of 4 planets that contain a structure.,Status,Status
Defy Space and Time,Have units in the wormhole nexus.,Have at least 8 non-fighter ships in the wormhole nexus.,Status,Status
Demonstrate Your Power,Have 3 or more non-fighter ships in the active system at the end of a space combat.,Have 15 non-fighter ships in or adjacent to other player's home systems.,Action,Status
Destroy Heretical Works,Purge 2 of your relic fragments of any type.,Purge 4 of your relic fragments and 1 of your attachments.,Status,Status
Destroy Research Vessels,Win a combat against a player with the most technologies.,Have units in the home system of another player with the most technologies.,Action,Status
Destroy their Greatest Ship,Destroy another player's war sun or flagship.,Have more combined ships with a cost of 6 or higher on the game board than the rest of the table combined and have at least 1 scored secret objective.,Action,Status
Develop Ultimate Weapon,Own Warsun technology.,Have a Warsun in each of 2 different systems that are either Mecatol Rex or another player's home system.,Status,Status
Dictate Policy,There are 3 or more laws in play.,There are 6 or more laws in play.,Agenda,Agenda
Diversify Approaches,"Have at least 1 space dock in a system with an industrial planet, at least 2 PDS on cultural planets, and at least 1 mech on a hazardous planet.","Have at least 2 space docks on industrial planets, at least 4 PDS on cultural planets, and at least 2 mechs on hazardous planets.",Status,Status
Diversify Outposts,Control 3 technology specialty planets of different colors.,Control a technology specialty planets of each of 3 colors and 2 of a 4th color. ,Status,Status
Dominate Culture,Control a cultural planet adjacent to another player's home system.,Control a cultural planet in each of 2 systems adjacent to other players' home systems.,Status,Status
Drive the Debate,You or a planet you control are elected by an agenda.,Own 2 elect player laws.,Agenda,Agenda
Establish a Perimeter,Have 4 PDS units on the game board.,Have 6 PDS on the game board and have at least 5 infantry on each of your planets that contain a PDS.,Status,Status
Establish Hegemony,Control planets that have a combined influence value of at least 12.,Control planets that have a combined influence value of at least 24.,Status,Status
Expand Reach,Have at least 1 ship in each of 3 systems that are not in or adjacent to your home system.,Have at least 1 ship in each of 7 systems that are not in or adjacent to your home system.,Status,Status
